Property,Project Name,Type of Property,Transaction Type,City,Area Name,Location,Price,Covered Area,Carpet Area,Carpet Area Unit,Bathroom,Floor No,Ownership Type,Possession Status,furnished Type,isPrimeLocationProperty,Gymnasium,Swimming Pool,Security,Club House,Developer,Maintenance Charges,Maintenance Type,Parking Lot Count,Has Covered Parking,Price per sqm
1 BHK Flat,Sanghvi Eco City Phase III,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",5800000,685,450,Sq-ft,1,11,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,Sanghvi Premises,2500,Monthly,1,1,8467.153285
2 BHK Flat,Northern Hills,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",15920000,1150,701,Sq-ft,2,35,Freehold,Under Construction,Unfurnished,1,1,1,1,1,N Rose Developers Pvt. Ltd.,7000,Monthly,1,1,13843.47826
3 BHK Flat,Northern Heights,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",22500000,1592,900,Sq-ft,3,32,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,N Rose Developers Pvt. Ltd.,0,Monthly,1,1,14133.16583
2 BHK Flat,,Apartment,New Property,Mumbai,Vaishali Nagar Dahisar,"Vaishali Nagar Dahisar, Mumbai",11000000,990,629,Sq-ft,2,,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,,4000,Monthly,1,1,11111.11111
2 BHK Flat,Raj Rudraksha,Apartment,New Property,Mumbai,Vaishali Nagar Dahisar,"Vaishali Nagar Dahisar, Mumbai",10600000,1041,700,Sq-ft,2,8,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,,3800,Monthly,1,1,10182.51681
2 BHK Flat,Northern Heights,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",17700000,1100,705,Sq-ft,2,35,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,N Rose Developers Pvt. Ltd.,5500,Monthly,0,0,16090.90909
3 BHK Flat,Northern Hills,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",23500000,1452,1093,Sq-ft,3,5,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,N Rose Developers Pvt. Ltd.,0,Monthly,1,1,16184.573
2 BHK Flat,Sheth Midori,Apartment,Resale,Mumbai,Dahisar East,"Dahisar East, Mumbai",12500000,800,533,Sq-ft,2,3,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Ashwin Sheth Group,,Monthly,1,1,15625
2 BHK Flat,Northern Hills,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",15900000,1050,695,Sq-ft,2,12,Co-operative Society,Under Construction,Unfurnished,1,1,1,1,1,N Rose Developers Pvt. Ltd.,7000,Monthly,0,0,15142.85714
2 BHK Flat,Avanya,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",10400000,950,537,Sq-ft,2,16,Freehold,Under Construction,Furnished,1,1,1,1,1,The Dynamix Group,3500,Monthly,1,0,10947.36842
1 BHK Flat,Avanya,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",7000000,620,398,Sq-ft,1,23,Freehold,Under Construction,Unfurnished,1,1,1,1,1,The Dynamix Group,5,Per sq. Unit Monthly,1,1,11290.32258
2 BHK Flat,Northern Hills,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",15800000,1150,697,Sq-ft,2,24,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,N Rose Developers Pvt. Ltd.,10000,Monthly,1,1,13739.13043
2 BHK Flat,Avanya,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",9850000,950,700,Sq-ft,2,20,Freehold,Under Construction,Unfurnished,1,1,1,1,1,The Dynamix Group,4500,Monthly,1,1,10368.42105
1 BHK Flat,Avanya,Apartment,New Property,Mumbai,Dahisar East,"Dahisar East, Mumbai",6800000,560,398,Sq-ft,2,8,Freehold,Under Construction,Unfurnished,1,1,1,1,1,The Dynamix Group,2000,Monthly,1,1,12142.85714
