Property,Project Name,Type of Property,Transaction Type,City,Area Name,Location,Price,Covered Area,Carpet Area,Carpet Area Unit,Bathroom,Floor No,Ownership Type,Possession Status,furnished Type,isPrimeLocationProperty,Gymnasium,Swimming Pool,Security,Club House,Developer,Maintenance Charges,Maintenance Type,Parking Lot Count,Has Covered Parking,Price per sqm
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3150000,635,375,Sq-ft,2,5,Freehold,Under Construction,Unfurnished,1,1,1,1,1,,3,Per sq. Unit Monthly,1,1,4960.629921
2 BHK Flat,Tata Amantra,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",6300000,579,579,Sq-ft,2,20,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,TATA Housing Development Company Ltd.,3,Per sq. Unit Monthly,1,1,10880.82902
2 BHK Flat,Sai Satyam Homes,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",5400000,850,585,Sq-ft,2,18,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Sai Satyam Developers,1200,Monthly,1,0,6352.941176
2 BHK Flat,Birla Vanya,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",9000000,1050,815,Sq-ft,2,5,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Birla Estates,3200,Monthly,1,1,8571.428571
1 BHK Flat,Godrej Nirvaan,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4950000,561,419,Sq-ft,2,8,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,Godrej Properties,,,0,0,8823.529412
2 BHK Flat,Tycoons Solitaire Sapphire,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",6570000,1067,667,Sq-ft,2,16,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Tycoons Group,2,Monthly,1,1,6157.450797
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5500000,725,550,Sq-ft,2,1,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,,2000,Monthly,0,0,7586.206897
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4200000,650,585,Sq-ft,1,4,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,,1500,Monthly,0,0,6461.538462
1 BHK Flat,Godrej Riviera,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3449000,592,370,Sq-ft,1,16,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Godrej Properties,3,Monthly,0,0,5826.013514
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5000000,644,430,Sq-ft,1,5,,Ready to Move,Unfurnished,1,1,1,1,1,,,,0,0,7763.975155
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",2990000,550,370,Sq-ft,2,10,Freehold,Under Construction,Furnished,1,1,1,1,1,,1200,Monthly,1,0,5436.363636
2 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4190000,850,570,Sq-ft,2,10,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,,1500,Monthly,1,1,4929.411765
1 BHK Flat,Rosalie,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4900000,595,,,1,9,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Tharwani Infrastructures,,,0,0,8235.294118
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",2187500,595,450,Sq-ft,1,2,Freehold,Ready to Move,Unfurnished,1,0,0,1,0,,1000,Monthly,1,1,3676.470588
1 BHK Flat,Guru Atman,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4700000,695,462,Sq-ft,1,16,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Gurukrupa Group,3,Per sq. Unit Monthly,0,0,6762.589928
3 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",12000000,1350,927,Sq-ft,3,18,Power Of Attorney,Under Construction,Unfurnished,1,1,1,1,1,,2500,Monthly,1,0,8888.888889
2 BHK Flat,Guru Atman,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7000000,960,650,Sq-ft,2,9,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Gurukrupa Group,2500,Monthly,1,0,7291.666667
2 BHK Flat,Riverview Classic,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",7000000,1010,761,Sq-ft,2,9,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Rutu Group,0,Monthly,1,0,6930.693069
1 BHK Flat,Ajmera New Era,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4800000,711,460,Sq-ft,2,4,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,4,Per sq. Unit Monthly,0,0,6751.054852
2 BHK Flat,Birla Vanya,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",9500000,1000,661,Sq-ft,2,20,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,Birla Estates,4500,Monthly,1,1,9500
2 BHK Flat,One Kalyan,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",7499000,709,709,Sq-ft,2,18,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,0,Monthly,1,1,10576.86883
1 BHK Flat,Ajmera Bliss,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4500000,675,450,Sq-ft,2,5,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,2200,Monthly,1,0,6666.666667
1 BHK Flat,Godrej Upavan,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4300000,590,367,Sq-ft,2,18,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Godrej Properties,0,Yearly,1,1,7288.135593
1 BHK Flat,Raunak Urban Centre,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3600000,645,467,Sq-ft,2,21,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,Raunak Group,,Monthly,1,0,5581.395349
1 BHK Flat,Vaibhavi City,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3580000,650,460,Sq-ft,1,5,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Vaishnavi Developers,1000,Monthly,0,0,5507.692308
3 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",14796000,2160,1385,Sq-ft,3,7,Freehold,Under Construction,Unfurnished,1,1,1,1,1,,7000,Monthly,2,1,6850
2 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4300000,854,505,Sq-ft,2,3,Freehold,Under Construction,Unfurnished,1,1,1,1,1,,3,Per sq. Unit Monthly,1,1,5035.128806
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4185500,384,384,Sq-ft,2,10,Freehold,Under Construction,Unfurnished,1,1,1,1,1,,3,Per sq. Unit Monthly,1,1,10899.73958
2 BHK Flat,Tycoons Solitaire Sapphire,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",6570000,1067,667,Sq-ft,2,16,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Tycoons Group,2,Monthly,1,1,6157.450797
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5500000,725,550,Sq-ft,2,1,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,,2000,Monthly,0,0,7586.206897
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4200000,650,585,Sq-ft,1,4,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,,1500,Monthly,0,0,6461.538462
1 BHK Flat,Godrej Riviera,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3449000,592,370,Sq-ft,1,16,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Godrej Properties,3,Monthly,0,0,5826.013514
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5000000,644,430,Sq-ft,1,5,,Ready to Move,Unfurnished,1,1,1,1,1,,,,0,0,7763.975155
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",2990000,550,370,Sq-ft,2,10,Freehold,Under Construction,Furnished,1,1,1,1,1,,1200,Monthly,1,0,5436.363636
2 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4190000,850,570,Sq-ft,2,10,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,,1500,Monthly,1,1,4929.411765
1 BHK Flat,Rosalie,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4900000,595,,,1,9,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Tharwani Infrastructures,,,0,0,8235.294118
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",2187500,595,450,Sq-ft,1,2,Freehold,Ready to Move,Unfurnished,1,0,0,1,0,,1000,Monthly,1,1,3676.470588
1 BHK Flat,Guru Atman,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4700000,695,462,Sq-ft,1,16,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Gurukrupa Group,3,Per sq. Unit Monthly,0,0,6762.589928
3 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",12000000,1350,927,Sq-ft,3,18,Power Of Attorney,Under Construction,Unfurnished,1,1,1,1,1,,2500,Monthly,1,0,8888.888889
2 BHK Flat,Guru Atman,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7000000,960,650,Sq-ft,2,9,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Gurukrupa Group,2500,Monthly,1,0,7291.666667
2 BHK Flat,Riverview Classic,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",7000000,1010,761,Sq-ft,2,9,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Rutu Group,0,Monthly,1,0,6930.693069
1 BHK Flat,Ajmera New Era,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4800000,711,460,Sq-ft,2,4,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,4,Per sq. Unit Monthly,0,0,6751.054852
2 BHK Flat,Birla Vanya,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",9500000,1000,661,Sq-ft,2,20,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,Birla Estates,4500,Monthly,1,1,9500
2 BHK Flat,One Kalyan,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",7499000,709,709,Sq-ft,2,18,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,0,Monthly,1,1,10576.86883
1 BHK Flat,Ajmera Bliss,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4500000,675,450,Sq-ft,2,5,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,2200,Monthly,1,0,6666.666667
1 BHK Flat,Godrej Upavan,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4300000,590,367,Sq-ft,2,18,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Godrej Properties,0,Yearly,1,1,7288.135593
1 BHK Flat,Raunak Urban Centre,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3600000,645,467,Sq-ft,2,21,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,Raunak Group,,Monthly,1,0,5581.395349
1 BHK Flat,Vaibhavi City,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3580000,650,460,Sq-ft,1,5,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Vaishnavi Developers,1000,Monthly,0,0,5507.692308
3 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",14796000,2160,1385,Sq-ft,3,7,Freehold,Under Construction,Unfurnished,1,1,1,1,1,,7000,Monthly,2,1,6850
2 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4300000,854,505,Sq-ft,2,3,Freehold,Under Construction,Unfurnished,1,1,1,1,1,,3,Per sq. Unit Monthly,1,1,5035.128806
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4185500,384,384,Sq-ft,2,10,Freehold,Under Construction,Unfurnished,1,1,1,1,1,,3,Per sq. Unit Monthly,1,1,10899.73958
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",2400000,675,,,2,3,,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,3555.555556
,,Residential House,Resale,Thane,Kalyan West,,2500000,620,,,2,,,Ready to Move,Furnished,1,0,0,0,0,,,,0,0,4032.258065
1 BHK Flat,Sai Nirvana,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4000000,785,,,2,1,,Under Construction,Unfurnished,1,0,0,0,0,Mutha Construction,,,0,0,5095.541401
1 BHK Flat,Ajmera New Era,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5000000,711,,,2,12,,Ready to Move,Semi-Furnished,1,0,0,0,0,Ajmera Realty & Infra India Ltd.,,Monthly,0,0,7032.348805
2 BHK Flat,Godrej Nirvaan,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",9500000,675,,,2,9,,Under Construction,Semi-Furnished,0,0,0,0,0,Godrej Properties,,,0,0,14074.07407
2 BHK Flat,Madhav Shristi,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",6000000,870,600,Sq-ft,2,7,,Ready to Move,Semi-Furnished,0,0,0,1,1,Madhav Constructions,,,0,0,6896.551724
1 BHK Flat,Raunak City 2,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4000000,580,,,1,4,,Ready to Move,Semi-Furnished,0,0,0,0,0,Raunak Group,,,0,0,6896.551724
2 BHK Flat,Vrundavan,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3400000,780,,,2,2,,Ready to Move,Unfurnished,0,0,0,0,0,Shree Vasturachna Developers,,,0,0,4358.974359
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4300000,615,,,1,6,Co-operative Society,Ready to Move,Unfurnished,0,0,0,1,0,,,,0,0,6991.869919
2 BHK Flat,Osho Dhara Residency,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7000000,1200,,,2,12,,Ready to Move,Furnished,0,0,0,0,0,Osho Dhara Developers,,,0,0,5833.333333
1 BHK Flat,Om Heights,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3500000,445,,,1,2,,Ready to Move,Semi-Furnished,0,0,0,0,0,Kashish Park Realtors,,,0,0,7865.168539
1 BHK Flat,Mahavir Heights,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3000000,650,,,1,4,,Under Construction,Semi-Furnished,0,0,0,0,0,Mahavir Builders,,,1,1,4615.384615
1 BHK Flat,Saisatyam Residency,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4100000,671,,,1,1,,Ready to Move,Furnished,0,0,0,0,0,Saisatyam Group,,,0,0,6110.283159
2 BHK Flat,Sai Nirvana,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",9000000,1085,,,2,20,,Under Construction,Unfurnished,0,0,0,0,0,Mutha Construction,,,0,0,8294.930876
1 BHK Flat,Godrej Nirvaan,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",8200000,689,633,Sq-ft,2,11,,Under Construction,Unfurnished,0,0,0,0,0,Godrej Properties,,,0,0,11901.30624
1 BHK Flat,Amrut Pearl,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4500000,545,,,2,5,,Ready to Move,Semi-Furnished,0,0,0,0,0,Mehta Group,,,0,0,8256.880734
,Vrindavan Garden,Residential House,Resale,Thane,Kalyan West,,5600000,805,,,2,4,,Ready to Move,Furnished,0,0,0,0,0,M S Developers,2087,Monthly,0,0,6956.521739
1 BHK Flat,Haware Pinnacle,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",2800000,603,392,Sq-ft,1,2,,Ready to Move,Unfurnished,0,0,0,0,0,Haware Engineers & Builders Pvt Ltd,14000,Yearly,0,0,4643.44942
1 BHK Flat,Raunak City Sector 4,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3500000,615,,,1,21,,Ready to Move,Unfurnished,0,0,0,0,0,Raunak Group,,,0,0,5691.056911
2 BHK Flat,Guru Atman,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7000000,970,,,2,11,,Ready to Move,Furnished,0,0,0,0,0,Gurukrupa Group,,,0,0,7216.494845
1 BHK Flat,Charms Heritage,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3900000,660,,,1,8,,Ready to Move,Semi-Furnished,0,0,0,0,0,Charms Group,,,0,0,5909.090909
1 BHK Flat,Amrut Pearl,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4500000,765,,,2,7,,Ready to Move,Semi-Furnished,0,0,0,0,0,Mehta Group,,,0,0,5882.352941
1 BHK Flat,Kalyan Nagari,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5500000,571,,,1,7,,Ready to Move,Semi-Furnished,0,0,0,0,0,Honest Developers,,,0,0,9632.224168
2 BHK Flat,Lotus Tower,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",6000000,750,,,2,7,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,8000
1 BHK Flat,Kalyan Nagari,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3500000,501,363,Sq-ft,2,9,,Ready to Move,Semi-Furnished,1,0,0,0,0,Honest Developers,,,0,0,6986.027944
3 BHK Flat,,Apartment,Resale,Kalyan,Kalyan West,"Kalyan West, Kalyan",7000000,963,,,2,3,,Ready to Move,Furnished,1,0,0,0,0,,,,0,0,7268.951194
3 BHK Flat,Om Heights,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7800000,1044,,,2,4,,Ready to Move,Semi-Furnished,1,0,0,0,0,Kashish Park Realtors,,,0,0,7471.264368
1 BHK Flat,Haware Pinnacle,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3500000,608,,,1,3,,Ready to Move,Unfurnished,1,0,0,0,0,Haware Engineers & Builders Pvt Ltd,,,0,0,5756.578947
1 BHK Flat,Vrindavan Shrushti,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3700000,750,493,Sq-ft,1,7,,Ready to Move,Semi-Furnished,1,0,0,0,0,M. S. Developers,,,0,0,4933.333333
1 BHK Flat,Haware Pinnacle,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3200000,603,,,1,1,,Ready to Move,Unfurnished,1,0,0,0,0,Haware Engineers & Builders Pvt Ltd,,Monthly,0,0,5306.799337
1 BHK Flat,Raunak City Sector 4,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4300000,640,,,1,1,,Ready to Move,Semi-Furnished,1,0,0,0,0,Raunak Group,,,0,0,6718.75
1 BHK Flat,Lifestyle City,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3451500,585,455,Sq-ft,2,1,,Ready to Move,Semi-Furnished,1,0,0,0,0,Nirmal Lifestyle Ltd.,1000,Monthly,1,1,5900
1 BHK Flat,Raunak City 3,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4050000,624,,,1,5,,Ready to Move,Semi-Furnished,1,0,0,0,0,Raunak Group,,,0,0,6490.384615
2 BHK Flat,Yogi Dham Phase III,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7400000,980,685,Sq-ft,2,17,Freehold,Ready to Move,Semi-Furnished,0,1,1,1,1,,2934,Monthly,0,0,7551.020408
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4800000,1080,709,Sq-ft,2,1,Co-operative Society,Ready to Move,Unfurnished,0,1,1,1,1,,8991,Monthly,0,0,4444.444444
3 BHK Flat,Tata Amantra,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",7999992,1332,853,Sq-ft,3,3,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,TATA Housing Development Company Ltd.,,Monthly,1,0,6006
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4700000,835,,,2,4,,Ready to Move,Unfurnished,0,0,0,0,0,,,,2,0,5628.742515
1 BHK Flat,Virat Residency,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3200000,645,,,1,7,,Ready to Move,Unfurnished,0,0,0,0,0,Virat Group,,,0,0,4961.24031
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",1700000,325,,,1,1,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,5230.769231
5 BHK Flat,Devdarshan Apartment,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",25200000,2900,2115,Sq-ft,3,5,Co-operative Society,Ready to Move,Furnished,0,1,1,1,1,,,,0,0,8689.655172
2 BHK Flat,,Apartment,Resale,Kalyan,Kalyan West,"Kalyan West, Kalyan",9500000,900,,,2,,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,10555.55556
1 BHK Flat,Madhav Sansar,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4200000,418,,,1,5,Freehold,Ready to Move,Unfurnished,0,0,0,0,0,Madhav Constructions,,,0,0,10047.84689
1 BHK Flat,,Builder Floor Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4200000,590,,,1,1,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,1,1,7118.644068
1 BHK Flat,Shankheshwar Platinum,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4000000,680,,,2,1,,Ready to Move,Semi-Furnished,0,0,0,0,0,Shankheshwar Group of Companies,,,0,0,5882.352941
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",8000000,880,,,2,7,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,9090.909091
2 BHK Flat,,Apartment,Resale,Kalyan,Kalyan West,"Kalyan West, Kalyan",10000000,1250,,,2,14,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,8000
3 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",11000000,1190,,,3,5,,Ready to Move,Furnished,0,0,0,0,0,,,,0,0,9243.697479
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",6000000,870,,,2,7,Freehold,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,6896.551724
2 BHK Flat,,Builder Floor Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5500000,650,,,1,1,Co-operative Society,Ready to Move,Semi-Furnished,0,0,0,0,0,,1100,Monthly,0,0,8461.538462
2 BHK Flat,Godrej Nirvaan,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",8200000,595,,,2,3,,Under Construction,Semi-Furnished,0,0,0,0,0,Godrej Properties,,,0,0,13781.51261
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",2600000,490,,,1,2,,Ready to Move,Unfurnished,0,0,0,0,0,,,,0,0,5306.122449
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7200000,985,,,2,1,Co-operative Society,Ready to Move,Semi-Furnished,0,0,0,0,0,,,Monthly,0,0,7309.64467
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",8500000,1130,,,2,15,,Ready to Move,Furnished,1,0,0,0,0,,,,2,1,7522.123894
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7300000,1000,640,Sq-ft,2,2,,Ready to Move,Furnished,1,0,0,0,0,,,,1,0,7300
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",11000000,700,,,2,16,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,15714.28571
,,Residential House,Resale,Thane,Kalyan West,,15000000,1600,,,2,,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,9375
1 BHK Flat,Yogi Dham Phase III,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5600000,695,,,2,18,,Ready to Move,Furnished,1,0,0,0,0,,,,0,0,8057.553957
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7200000,1010,,,2,2,Co-operative Society,Ready to Move,Unfurnished,1,1,0,1,0,,,,0,0,7128.712871
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4000000,490,,,1,3,,Ready to Move,Semi-Furnished,1,0,0,0,0,,,,0,0,8163.265306
1 BHK Flat,Raunak City 2,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3700000,577,,,1,15,,Ready to Move,Semi-Furnished,1,0,0,0,0,Raunak Group,,,0,0,6412.478336
1 BHK Flat,Raunak City 3,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3500000,580,,,1,4,,Ready to Move,Semi-Furnished,1,0,0,0,0,Raunak Group,,,0,0,6034.482759
1 BHK Flat,,Apartment,Resale,Kalyan,Kalyan West,"Kalyan West, Kalyan",4350000,710,506,Sq-ft,1,20,,Ready to Move,Unfurnished,1,0,0,0,0,,,,0,0,6126.760563
1 BHK Flat,Vrundavan,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",2400000,550,385,Sq-ft,1,4,,Ready to Move,Unfurnished,0,0,0,0,0,Shree Vasturachna Developers,,,0,0,4363.636364
1 BHK Flat,Krishna Regency,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4000000,640,475,Sq-ft,1,3,Freehold,Ready to Move,Semi-Furnished,0,1,0,1,0,Konkanbhoomi Developers,600,Monthly,0,0,6250
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",6300000,700,,,1,3,,Ready to Move,Semi-Furnished,0,0,0,0,0,,,,0,0,9000
2 BHK Flat,Charms Heritage,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7500000,990,,,2,12,,Ready to Move,Semi-Furnished,0,1,1,1,1,Charms Group,,,1,1,7575.757576
1 BHK Flat,Vidhi Complex,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",3300000,500,,,1,6,,Ready to Move,Semi-Furnished,0,0,0,1,0,Vidhi Developers,,,1,1,6600
2 BHK Flat,Tata Amantra,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5500000,927,,,1,8,,Ready to Move,Unfurnished,0,1,1,1,1,TATA Housing Development Company Ltd.,,,0,0,5933.117584
1 BHK Flat,Rosalie,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5500000,600,,,1,4,,Ready to Move,Unfurnished,0,1,1,1,1,Tharwani Infrastructures,,,1,0,9166.666667
1 BHK Flat,Vrundavan,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",2700000,430,,,1,,,Ready to Move,Unfurnished,0,1,1,1,1,Shree Vasturachna Developers,,,0,0,6279.069767
2 BHK Flat,Haware Pinnacle,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4500000,855,,,2,1,Leasehold,Ready to Move,Furnished,0,1,1,1,1,Haware Engineers & Builders Pvt Ltd,,,0,0,5263.157895
1 BHK Flat,Royce Paradise,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4500000,645,,,1,1,,Ready to Move,Unfurnished,0,0,0,0,1,Royce Developers,,,0,0,6976.744186
